R1_BAT,121.12,44.59,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_CAPACITOR,93.15,49.67,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,160.50,6.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,90.19,61.08,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,112.46,35.79,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,64.90,13.22,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,152.00,45.25,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,152.00,46.50,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,124.81,40.59,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,162.00,6.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,93.27,60.17,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.93,10.89,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,69.74,15.59,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,31.50,49.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,51.50,26.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,49.50,26.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,45.00,26.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,70.59,28.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,108.00,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.50,108.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.50,108.07,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.35,28.78,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.50,108.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,159.75,13.49,0.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.91,10.80,0.00,,SJ
TP1,12.01,70.90,0.00,TPTP20R,TP20R
TP10,33.95,28.68,0.00,TPTP20R,TP20R
TP11,63.30,26.28,0.00,TPTP20R,TP20R
TP12,52.19,12.60,0.00,TPTP20R,TP20R
TP13,66.54,83.90,0.00,TPTP20R,TP20R
TP14,114.29,42.60,0.00,TPTP20R,TP20R
TP15,13.14,40.90,0.00,TPTP20R,TP20R
TP16,142.71,27.50,0.00,TPTP20R,TP20R
TP17,85.73,27.60,0.00,TPTP20R,TP20R
TP2,15.53,67.70,0.00,TPTP20R,TP20R
TP3,133.15,44.00,0.00,TPTP20R,TP20R
TP4,129.47,59.00,0.00,TPTP20R,TP20R
TP5,10.89,32.50,0.00,TPTP20R,TP20R
TP6,29.45,55.50,0.00,TPTP20R,TP20R
TP7,44.67,37.60,0.00,TPTP20R,TP20R
TP8,56.80,17.18,0.00,TPTP20R,TP20R
TP9,8.19,75.20,0.00,TPTP20R,TP20R
U1,37.00,55.00,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,55.00,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.79,54.40,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,135.21,47.30,0.00,MAX17048G+T10,SON50P200X200X80-9N
